Year,County,CareCenter,Community,DayCare,MixedDayCare,GroupHome
113,New Taipei City,13,62,3,106,4
113,Taipei,11,48,2,71,1
113,Taoyuan,7,29,2,76,1
113,Taichung,10,43,1,143,3
113,Tainan,6,40,5,124,2
113,Kaohsiung,10,53,5,129,3
113,Yilan,4,16,2,40,4
113,Hsinchu,2,11,3,24,1
113,Miaoli,3,7,0,21,1
113,Changhua,10,28,4,64,0
113,Nantou,4,28,0,25,2
113,Yunlin,5,23,2,47,1
113,Chiayi,3,29,0,29,1
113,Pingtung,13,37,3,66,4
113,Taitung,2,20,1,15,2
113,Hualien,5,33,1,18,1
113,Penghu,1,7,0,9,0
113,Keelung,3,11,1,8,1
113,Hsinchu,4,8,0,10,0
113,Chiayi,2,6,1,16,2
113,Kinmen,1,5,0,6,0
113,Lienchiang,1,1,0,1,0
112,New Taipei City,13,62,3,82,3
112,Taipei,11,48,2,67,1
112,Taoyuan,7,29,2,68,1
112,Taichung,9,39,1,132,3
112,Tainan,6,40,6,113,1
112,Kaohsiung,9,54,5,120,3
112,Yilan,5,12,3,39,3
112,Hsinchu,3,10,2,22,1
112,Miaoli,2,7,0,20,1
112,Changhua,10,26,3,54,0
112,Nantou,4,27,0,22,2
112,Yunlin,5,23,3,41,1
112,Chiayi,3,29,1,23,1
112,Pingtung,10,37,3,59,4
112,Taitung,3,20,1,14,2
112,Hualien,5,33,0,17,1
112,Penghu,1,8,0,7,0
112,Keelung,3,9,1,8,1
112,Hsinchu,3,8,0,8,0
112,Chiayi,2,6,2,14,2
112,Kinmen,1,5,0,6,0
112,Lienchiang,1,1,0,1,0
111,New Taipei City,13,63,3,71,3
111,Taipei,11,48,2,53,2
111,Taoyuan,7,29,2,61,1
111,Taichung,10,37,1,120,3
111,Tainan,6,40,6,100,2
111,Kaohsiung,9,54,4,97,2
111,Yilan,5,15,3,37,2
111,Hsinchu,3,13,1,17,1
111,Miaoli,2,6,0,16,1
111,Changhua,10,31,3,47,0
111,Nantou,4,25,0,20,2
111,Yunlin,5,21,3,31,1
111,Chiayi,3,29,1,22,0
111,Pingtung,10,36,3,50,3
111,Taitung,3,20,0,14,2
111,Hualien,5,33,0,14,1
111,Penghu,1,7,0,7,0
111,Keelung,3,8,1,8,1
111,Hsinchu,3,8,0,5,0
111,Chiayi,2,7,3,11,2
111,Kinmen,1,4,0,7,0
111,Lienchiang,1,1,0,1,0
110,New Taipei City,11,39,2,59,3
110,Taipei,11,45,1,42,1
110,Taoyuan,5,23,2,54,0
110,Taichung,10,36,0,103,2
110,Tainan,6,40,7,82,1
110,Kaohsiung,9,51,4,76,2
110,Yilan,2,16,2,32,1
110,Hsinchu,3,11,1,17,1
110,Miaoli,2,5,0,15,1
110,Changhua,10,31,1,42,0
110,Nantou,3,27,0,19,1
110,Yunlin,5,21,3,30,1
110,Chiayi,3,29,1,20,0
110,Pingtung,5,36,3,47,1
110,Taitung,3,18,0,15,1
110,Hualien,5,33,0,14,1
110,Penghu,1,7,0,7,0
110,Keelung,2,6,1,8,1
110,Hsinchu,3,8,0,4,0
110,Chiayi,2,7,1,13,1
110,Kinmen,1,4,0,4,0
110,Lienchiang,1,1,0,1,0